DATE,TB4WK
2017-01-01,0.49
2017-02-01,0.47
2017-03-01,0.65
2017-04-01,0.73
2017-05-01,0.71
2017-06-01,0.82
2017-07-01,0.95
2017-08-01,0.96
2017-09-01,0.98
2017-10-01,0.98
2017-11-01,1.07
2017-12-01,1.18
2018-01-01,1.27
2018-02-01,1.36
2018-03-01,1.61
2018-04-01,1.63
2018-05-01,1.67
2018-06-01,1.77
2018-07-01,1.86
2018-08-01,1.91
2018-09-01,2.00
2018-10-01,2.14
2018-11-01,2.19
2018-12-01,2.32
2019-01-01,2.36
2019-02-01,2.39
2019-03-01,2.41
2019-04-01,2.38
2019-05-01,2.36
2019-06-01,2.18
2019-07-01,2.11
2019-08-01,2.03
2019-09-01,1.95
2019-10-01,1.70
2019-11-01,1.55
2019-12-01,1.52
2020-01-01,1.50
